,Driven(KM),Brand(Model),Max Power,Gear Box,Age(Months),Fuel Type,Transmission,City,Area,Price(Lakhs)
24,50000.0,Mercedes-Benz S-Class,453.26,7.0,8.0,Petrol,Automatic,Bangalore,14401.0,49.0
25,110000.0,Honda City,117.3,5.0,9.0,Petrol,Manual,Bangalore,12270.0,5.5
26,23447.0,Hyundai Santro,68.0,5.0,6.0,Petrol,Automatic,Bangalore,,5.7
27,30000.0,Hyundai Santro Xing,62.1,5.0,15.0,LPG,Manual,Bangalore,10180.0,2.2
28,33000.0,Mercedes-Benz E-Class,194.4,9.0,7.0,Petrol,Automatic,Bangalore,13846.0,41.45
29,87667.0,Mahindra XUV500,140.0,6.0,10.0,Diesel,Manual,Bangalore,12950.0,8.61
30,40000.0,Audi A4,174.33,8.0,8.0,Diesel,Automatic,Bangalore,13311.0,17.85
31,79012.0,Mahindra XUV500,140.0,6.0,10.0,Diesel,Manual,Bangalore,,8.03
32,31344.0,Jeep Compass,167.67,6.0,3.0,Diesel,Manual,Bangalore,12446.0,25.65
33,50000.0,Hyundai Xcent,81.86,5.0,6.0,Petrol,Manual,Bangalore,,6.74
34,12434.0,Maruti Wagon R,67.04,5.0,9.0,Petrol,Manual,Bangalore,10219.0,3.49
35,60000.0,Maruti Ertiga,103.0,5.0,5.0,Petrol,Manual,Bangalore,12260.0,10.5
36,12000.0,Mercedes-Benz C-Class,194.0,9.0,5.0,Diesel,Automatic,Bangalore,13281.0,44.25
37,40987.0,Maruti Wagon R,67.04,5.0,9.0,Petrol,Manual,Bangalore,,4.06
38,18157.0,BMW 5 Series,248.08,8.0,4.0,Petrol,Automatic,Bangalore,13781.0,49.65
39,120000.0,Toyota Fortuner,171.0,5.0,13.0,Diesel,Manual,Bangalore,13070.0,11.0
40,40000.0,Renault Duster,108.5,6.0,4.0,Diesel,Automatic,Bangalore,12364.0,11.0
41,89667.0,Hyundai i20,81.83,5.0,8.0,Petrol,Manual,Bangalore,,5.94
42,120000.0,Hyundai i20,88.73,6.0,7.0,Diesel,Manual,Bangalore,11438.0,7.1
43,56997.0,Maruti Baleno,83.1,5.0,7.0,Petrol,Manual,Bangalore,11480.0,6.92
44,120000.0,Hyundai Elantra,147.5,6.0,11.0,Petrol,Manual,Bangalore,12610.0,6.5
45,59000.0,Audi A6,187.74,7.0,9.0,Diesel,Automatic,Bangalore,13614.0,20.9
46,18835.0,Maruti Alto 800,47.33,5.0,3.0,Petrol,Manual,Bangalore,9920.0,4.11
47,120000.0,Mahindra Scorpio,120.0,5.0,14.0,Diesel,Manual,Bangalore,12494.0,6.5
48,40000.0,Mini 3 DOOR,189.08,7.0,8.0,Petrol,Automatic,Bangalore,,36.75
49,60932.0,Tata Tiago,83.83,5.0,5.0,Petrol,Manual,Bangalore,10786.0,6.1
50,33539.0,Kia Seltos,138.08,7.0,4.0,Petrol,Automatic,Bangalore,,16.75
51,66837.0,Tata Tiago,84.0,5.0,6.0,Petrol,Manual,Bangalore,,5.3
52,400.0,Mercedes-Benz E-Class,281.61,9.0,2.0,Diesel,Automatic,Bangalore,14059.0,79.9
53,60000.0,Maruti Alto,46.3,5.0,16.0,Petrol,Manual,Bangalore,10011.0,2.5
54,44285.0,Hyundai i20,81.86,5.0,5.0,Petrol,Manual,Bangalore,11438.0,7.15
55,100000.0,Mercedes-Benz GL-Class,254.8,7.0,10.0,Diesel,Automatic,Bangalore,14149.0,35.0
56,25000.0,Tata New Safari,167.67,6.0,3.0,Diesel,Automatic,Bangalore,,22.5
57,36735.0,Hyundai Grand i10,81.86,5.0,6.0,Petrol,Manual,Bangalore,10850.0,6.25
58,79000.0,Audi Q7,241.4,8.0,9.0,Diesel,Automatic,Bangalore,,26.95
59,120000.0,Mahindra Scorpio,120.0,5.0,14.0,Diesel,Manual,Bangalore,12494.0,6.5
60,10000.0,Renault KWID,67.0,5.0,2.0,Petrol,Automatic,Bangalore,10620.0,5.5
61,53645.0,Tata Nexon,108.5,6.0,6.0,Diesel,Manual,Bangalore,,8.25
62,100000.0,Hyundai Getz,83.0,5.0,18.0,Petrol,Manual,Bangalore,10950.0,2.2
63,53982.0,Maruti Celerio,65.71,5.0,10.0,Petrol,Automatic,Bangalore,10700.0,4.28
64,110000.0,Skoda Rapid,103.52,5.0,10.0,Diesel,Manual,Bangalore,12170.0,6.95
65,37741.0,Ford Ecosport,120.69,5.0,5.0,Petrol,Manual,Bangalore,,9.3
66,17367.0,Maruti Alto 800,47.33,5.0,3.0,Petrol,Manual,Bangalore,9920.0,4.55
67,94000.0,Hyundai Creta,126.2,6.0,7.0,Diesel,Manual,Bangalore,12100.0,11.95
68,33700.0,Tata Harrier,167.67,6.0,3.0,Diesel,Automatic,Bangalore,12984.0,21.75
69,54601.0,Maruti Swift,88.5,5.0,10.0,Petrol,Manual,Bangalore,,4.42
70,110000.0,Maruti Swift,74.0,5.0,6.0,Diesel,Manual,Bangalore,11150.0,6.9
71,64000.0,Maruti Celerio,67.04,5.0,7.0,Petrol,Manual,Bangalore,10700.0,5.0
72,40525.0,BMW 3 Series GT,188.0,8.0,8.0,Diesel,Automatic,Bangalore,13304.0,33.95
73,100000.0,Maruti Ciaz,88.5,5.0,9.0,Diesel,Manual,Bangalore,,6.5
74,44154.0,Honda Jazz,88.7,5.0,8.0,Petrol,Automatic,Bangalore,11298.0,5.37
75,70000.0,Renault Lodgy,108.5,6.0,8.0,Diesel,Manual,Bangalore,12498.0,7.5
76,79000.0,Skoda Octavia,178.0,7.0,6.0,Petrol,Automatic,Bangalore,12968.0,17.9
77,68039.0,Tata Tiago,84.0,5.0,7.0,Petrol,Manual,Bangalore,10786.0,4.68
78,60000.0,Maruti Ritz,85.8,5.0,10.0,Petrol,Manual,Bangalore,10910.0,4.2
79,60000.0,Maruti Ritz,85.8,5.0,10.0,Petrol,Manual,Bangalore,,4.2
80,10000.0,Hyundai i20,118.36,6.0,3.0,Petrol,Manual,Bangalore,,9.2
81,49873.0,Honda City,116.3,5.0,11.0,Petrol,Manual,Bangalore,12270.0,5.33
82,90000.0,Volkswagen Polo,103.6,7.0,11.0,Petrol,Automatic,Bangalore,11304.0,8.5
83,48960.0,Skoda Rapid,108.6,5.0,7.0,Diesel,Manual,Bangalore,12224.0,7.51
84,70000.0,Hyundai Grand i10,70.0,5.0,10.0,Diesel,Manual,Bangalore,10850.0,3.88
85,68000.0,Hyundai i20,82.85,5.0,11.0,Petrol,Manual,Bangalore,11410.0,4.9
86,23017.0,Mahindra KUV 100,77.0,5.0,8.0,Diesel,Manual,Bangalore,10780.0,4.94
87,83000.0,Hyundai i20,88.76,6.0,11.0,Diesel,Manual,Bangalore,,5.25
88,92000.0,BMW X3,187.74,8.0,8.0,Diesel,Automatic,Bangalore,13325.0,28.9
89,62139.0,Maruti Wagon R,67.04,5.0,6.0,Petrol,Manual,Bangalore,10293.0,5.5
90,74000.0,Hyundai i10,68.05,5.0,11.0,LPG,Manual,Bangalore,10360.0,3.65
91,26500.0,Renault KWID,67.0,5.0,8.0,Petrol,Automatic,Bangalore,,4.2
92,81716.0,Volvo S60,190.0,8.0,7.0,Diesel,Automatic,Bangalore,13179.0,18.95
93,24000.0,Mercedes-Benz E-Class,254.8,9.0,6.0,Diesel,Automatic,Bangalore,,59.9
94,10000.0,Mahindra XUV300,108.6,6.0,2.0,Petrol,Automatic,Bangalore,11632.0,10.5
95,18000.0,MG Hector Plus,141.0,6.0,3.0,Petrol,Automatic,Bangalore,,20.75
96,38197.0,Honda Brio,86.8,5.0,11.0,Petrol,Manual,Bangalore,,3.94
97,23000.0,Maruti Baleno,81.8,,7.0,Petrol,Automatic,Bangalore,11480.0,7.25
98,50000.0,Maruti Alto K10,67.1,5.0,11.0,Petrol,Manual,Bangalore,10261.0,2.4
99,10000.0,Renault Kiger,71.01,5.0,2.0,Petrol,Automatic,Bangalore,11482.0,8.35
100,19000.0,Hyundai Grand i10,81.86,5.0,5.0,Petrol,Manual,Bangalore,10850.0,6.95
101,14000.0,Kia Seltos,138.08,7.0,4.0,Petrol,Automatic,Bangalore,,17.25
102,29268.0,Hyundai EON,55.2,5.0,10.0,Petrol,Manual,Bangalore,10090.0,3.3
103,20000.0,Volkswagen Vento,103.2,7.0,5.0,Petrol,Automatic,Bangalore,12178.0,9.9
104,30000.0,Toyota Yaris,105.5,6.0,6.0,Petrol,Manual,Bangalore,12310.0,7.5
105,64374.0,Honda Jazz,88.7,5.0,6.0,Petrol,Automatic,Bangalore,11298.0,7.55
106,30000.0,MG Hector,167.68,6.0,3.0,Diesel,Manual,Bangalore,,17.5
107,7100.0,Hyundai Alcazar,156.9,6.0,2.0,Petrol,Automatic,Bangalore,,20.83
108,43679.0,Hyundai i10,68.05,5.0,14.0,Petrol,Manual,Bangalore,10360.0,2.71
109,40000.0,Hyundai Creta,121.3,6.0,6.0,Petrol,Automatic,Bangalore,12100.0,12.8
110,40562.0,Hyundai i20,88.76,6.0,12.0,Diesel,Manual,Bangalore,11410.0,4.36
111,26500.0,Hyundai Creta,138.12,7.0,3.0,Petrol,Automatic,Bangalore,12180.0,16.75
112,20000.0,Hyundai Venue,118.35,7.0,5.0,Petrol,Automatic,Bangalore,11530.0,12.5
113,58600.0,Mahindra XUV500,140.0,6.0,8.0,Diesel,Automatic,Bangalore,12950.0,13.5
114,20000.0,Hyundai Venue,118.35,7.0,5.0,Petrol,Automatic,Bangalore,11530.0,12.5
115,42050.0,Volkswagen T-Roc,147.94,7.0,4.0,Petrol,Automatic,Bangalore,12106.0,22.25
116,65017.0,Maruti Celerio,67.04,5.0,9.0,Petrol,Automatic,Bangalore,10700.0,4.75
117,80000.0,BMW 3 Series,170.0,6.0,16.0,Diesel,Automatic,Bangalore,12696.0,6.0
118,30000.0,Jeep Compass,160.77,7.0,3.0,Petrol,Automatic,Bangalore,,24.5
119,20000.0,Kia Seltos,138.08,7.0,4.0,Petrol,Automatic,Bangalore,12230.0,16.25
120,36349.0,Skoda Superb,138.1,6.0,10.0,Diesel,Automatic,Bangalore,13310.0,16.5
121,80000.0,Hyundai i10,78.9,5.0,15.0,Petrol,Manual,Bangalore,,2.49
122,83394.0,Renault Duster,102.57,5.0,10.0,Petrol,Manual,Bangalore,12274.0,6.3
123,30000.0,Audi Q5,174.3,7.0,8.0,Diesel,Automatic,Bangalore,13167.0,25.99
124,80000.0,Hyundai i10,78.9,5.0,15.0,Petrol,Manual,Bangalore,10360.0,2.49
125,52204.0,Maruti Alto K10,65.71,5.0,7.0,Petrol,Manual,Bangalore,10081.0,3.85
126,110000.0,Hyundai i20,80.0,5.0,12.0,Petrol,Manual,Bangalore,11300.0,3.0
127,89000.0,Ford Endeavour,197.0,6.0,7.0,Diesel,Automatic,Bangalore,13504.0,29.75
128,29813.0,Maruti Alto 800,47.33,5.0,10.0,Petrol,Manual,Bangalore,9920.0,2.76
129,30000.0,Ford Figo,86.8,5.0,6.0,Petrol,Manual,Bangalore,11162.0,5.0
130,13345.0,Maruti Ignis,81.8,5.0,4.0,Petrol,Automatic,Bangalore,10780.0,7.3
131,17100.0,Hyundai Alcazar,113.42,6.0,2.0,Diesel,Automatic,Bangalore,,22.45
132,75000.0,Hyundai Grand i10,82.0,5.0,10.0,Petrol,Manual,Bangalore,,3.99
133,75523.0,Hyundai i10,78.9,5.0,13.0,Petrol,Manual,Bangalore,10360.0,3.12
134,47000.0,Mahindra XUV500,140.0,6.0,9.0,Diesel,Manual,Bangalore,12950.0,12.75
135,36500.0,Tata Harrier,167.67,6.0,2.0,Diesel,Manual,Bangalore,12984.0,19.9
136,28253.0,Renault Triber,71.01,5.0,4.0,Petrol,Manual,Bangalore,11460.0,7.19
137,50000.0,Hyundai Creta,126.2,6.0,8.0,Diesel,Manual,Bangalore,12100.0,12.6
138,90000.0,Hyundai i10,78.9,5.0,14.0,Petrol,Manual,Bangalore,10360.0,3.0
139,70000.0,BMW X5,258.0,8.0,8.0,Diesel,Automatic,Bangalore,13648.0,39.81
140,52571.0,Hyundai i20,81.83,5.0,8.0,Petrol,Manual,Bangalore,11438.0,6.27
141,70000.0,BMW 3 Series,181.0,6.0,14.0,Diesel,Automatic,Bangalore,12674.0,13.0
142,61993.0,Honda City,117.3,5.0,9.0,Petrol,Manual,Bangalore,12270.0,6.72
143,57000.0,Hyundai Tucson,182.46,6.0,7.0,Diesel,Automatic,Bangalore,12650.0,18.25
144,80000.0,Toyota Fortuner,174.5,6.0,3.0,Diesel,Manual,Bangalore,13300.0,35.0
145,36359.0,Hyundai i20,82.85,5.0,11.0,Petrol,Manual,Bangalore,11410.0,4.4
146,70000.0,Tata Harrier,138.1,6.0,5.0,Diesel,Manual,Bangalore,12984.0,14.6
147,7500.0,MG Hector,141.0,8.0,2.0,Petrol,Automatic,Bangalore,12980.0,20.41
148,30301.0,Hyundai Verna,121.3,6.0,7.0,Petrol,Automatic,Bangalore,12338.0,10.33
149,66000.0,Hyundai i10,78.9,5.0,14.0,Petrol,Manual,Bangalore,,2.75
150,56010.0,Hyundai i20,81.83,5.0,7.0,Petrol,Manual,Bangalore,11438.0,6.76
151,47000.0,Mercedes-Benz GLC,170.0,9.0,7.0,Diesel,Automatic,Bangalore,13092.0,42.9
152,60000.0,Nissan Terrano,108.5,6.0,10.0,Diesel,Manual,Bangalore,12571.0,6.5
153,83829.0,Maruti Swift,74.0,5.0,10.0,Diesel,Manual,Bangalore,11150.0,4.44
154,10000.0,Renault KWID,67.0,5.0,4.0,Petrol,Automatic,Bangalore,10620.0,5.1
155,35000.0,Renault Duster,108.45,6.0,8.0,Diesel,Automatic,Bangalore,12274.0,9.25
156,51116.0,Honda City,117.6,,5.0,Petrol,Automatic,Bangalore,,10.24
157,80000.0,Skoda Rapid,103.52,5.0,8.0,Diesel,Manual,Bangalore,,5.0
158,40000.0,Volkswagen Polo,103.5,7.0,7.0,Petrol,Automatic,Bangalore,11306.0,9.95
159,85565.0,Honda CR-V,158.8,5.0,12.0,Petrol,Automatic,Bangalore,12790.0,9.35
160,36916.0,Ford Ecosport,121.36,5.0,6.0,Petrol,Manual,Bangalore,11526.0,8.34
161,90000.0,Volkswagen Polo,88.8,5.0,9.0,Diesel,Manual,Bangalore,11306.0,5.6
162,112795.0,Maruti Swift,88.5,5.0,12.0,Petrol,Manual,Bangalore,11160.0,4.54
163,11000.0,Mercedes-Benz A-Class Limousine,160.92,7.0,3.0,Petrol,Automatic,Bangalore,13007.0,36.9
164,120000.0,Toyota Innova,130.1,5.0,10.0,Petrol,Manual,Bangalore,12690.0,11.0
165,36685.0,Honda Brio,86.8,5.0,8.0,Petrol,Manual,Bangalore,10580.0,4.62
166,120000.0,Hyundai Santa Fe,194.3,6.0,12.0,Diesel,Automatic,Bangalore,13100.0,9.0
167,4000.0,BMW 6 Series,254.79,8.0,2.0,Petrol,Automatic,Bangalore,,79.0
168,32184.0,Maruti Baleno,83.1,,5.0,Petrol,Automatic,Bangalore,,8.43
169,32279.0,Maruti Baleno RS,100.5,5.0,6.0,Petrol,Manual,Bangalore,,7.99
170,59698.0,Hyundai i20,81.83,5.0,9.0,Petrol,Manual,Bangalore,11438.0,5.76
171,46071.0,Renault Captur,108.45,6.0,6.0,Diesel,Manual,Bangalore,12284.0,9.49
172,90000.0,Maruti Vitara Brezza,88.5,5.0,7.0,Diesel,Manual,Bangalore,,7.95
173,9554.0,Hyundai Venue,118.35,6.0,5.0,Petrol,Manual,Bangalore,11530.0,10.85
174,14000.0,Jeep Compass,160.77,7.0,2.0,Petrol,Automatic,Bangalore,12446.0,25.9
175,74499.0,Renault Duster,83.8,5.0,11.0,Diesel,Manual,Bangalore,12274.0,5.16
176,56211.0,Ford Ecosport,121.36,6.0,7.0,Petrol,Automatic,Bangalore,,7.77
177,9001.0,Honda Jazz,88.7,5.0,5.0,Petrol,Manual,Bangalore,,7.53
178,65457.0,Mahindra XUV500,140.0,6.0,7.0,Diesel,Automatic,Bangalore,12950.0,12.26
179,23682.0,Honda Jazz,88.7,5.0,7.0,Petrol,Manual,Bangalore,,7.25
180,50000.0,Hyundai Verna,126.2,6.0,4.0,Diesel,Manual,Bangalore,,11.5
181,134557.0,Maruti Swift,74.0,5.0,9.0,Diesel,Manual,Bangalore,,6.29
182,96567.0,Maruti Swift Dzire,88.5,5.0,11.0,Petrol,Manual,Bangalore,11460.0,4.47
183,120000.0,Maruti Celerio,67.04,5.0,9.0,Petrol,Manual,Bangalore,10700.0,4.0
184,83007.0,Maruti Ertiga,88.8,5.0,10.0,Diesel,Manual,Bangalore,11920.0,7.86
185,34000.0,Honda Jazz,88.7,5.0,6.0,Petrol,Manual,Bangalore,,7.45
186,81634.0,Hyundai Grand i10,82.0,4.0,10.0,Petrol,Automatic,Bangalore,10850.0,4.9
187,57284.0,Honda City,117.6,,7.0,Petrol,Automatic,Bangalore,12270.0,9.42
188,70000.0,Ford Ecosport,110.4,6.0,8.0,Petrol,Automatic,Bangalore,,6.75
189,70000.0,Honda Brio,86.8,5.0,11.0,Petrol,Manual,Bangalore,10580.0,3.3
190,46429.0,Toyota Yaris,105.5,7.0,6.0,Petrol,Automatic,Bangalore,12310.0,8.75
191,17624.0,Maruti Baleno,83.1,5.0,7.0,Petrol,Manual,Bangalore,11480.0,8.69
192,100000.0,Volkswagen Vento,103.6,5.0,12.0,Diesel,Manual,Bangalore,12166.0,4.25
193,30000.0,Honda City,117.6,5.0,5.0,Petrol,Manual,Bangalore,12270.0,10.7
194,49690.0,Ford Ecosport,120.69,5.0,6.0,Petrol,Manual,Bangalore,11526.0,10.25
195,110000.0,Mahindra XUV500,140.0,6.0,8.0,Diesel,Manual,Bangalore,12950.0,10.0
196,50000.0,Fiat Linea,90.0,,15.0,Petrol,Manual,Bangalore,8621.0,3.75
197,50000.0,Fiat Linea,90.0,,15.0,Petrol,Manual,Bangalore,8621.0,3.75
198,55702.0,Ford Ecosport,121.36,6.0,6.0,Petrol,Automatic,Bangalore,11526.0,8.44
199,45046.0,Hyundai i20 Active,88.73,6.0,8.0,Diesel,Manual,Bangalore,,7.64
200,53000.0,Maruti Ritz,85.8,5.0,10.0,Petrol,Manual,Bangalore,10910.0,4.2
201,94695.0,Maruti Baleno,74.0,5.0,8.0,Diesel,Manual,Bangalore,11480.0,6.84
202,22162.0,Maruti Baleno,83.1,5.0,5.0,Petrol,Manual,Bangalore,11480.0,8.03
203,70000.0,Hyundai Santro Xing,62.1,5.0,14.0,Petrol,Manual,Bangalore,10180.0,3.2
204,115331.0,Honda City,98.6,6.0,7.0,Diesel,Manual,Bangalore,12270.0,8.04
205,70000.0,Mercedes-Benz E-Class,170.0,5.0,11.0,Diesel,Automatic,Bangalore,13348.0,14.0
206,42233.0,Maruti Swift,88.5,5.0,8.0,Petrol,Manual,Bangalore,11160.0,5.48
207,20941.0,Hyundai Grand i10,81.86,5.0,5.0,Petrol,Manual,Bangalore,10850.0,6.19
208,50000.0,Maruti Vitara Brezza,88.5,5.0,6.0,Diesel,Manual,Bangalore,11570.0,10.0
209,46602.0,Honda WR-V,88.7,5.0,6.0,Petrol,Manual,Bangalore,11466.0,8.65
210,50000.0,Mahindra Ssangyong Rexton,184.0,5.0,10.0,Diesel,Automatic,Bangalore,13310.0,10.0
211,104000.0,Maruti Swift,74.0,5.0,10.0,Diesel,Manual,Bangalore,,5.35
212,90000.0,Ford Ecosport,98.96,5.0,6.0,Diesel,Manual,Bangalore,,9.75
213,50035.0,Maruti Baleno,83.1,5.0,7.0,Petrol,Manual,Bangalore,11480.0,6.99
214,80000.0,Tata Nexon,118.36,6.0,3.0,Petrol,Manual,Bangalore,11608.0,11.5
215,90000.0,Hyundai i20,81.83,5.0,9.0,Petrol,Manual,Bangalore,11438.0,6.25
216,90000.0,Mercedes-Benz E-Class,203.0,5.0,13.0,Diesel,Automatic,Bangalore,,10.0
217,120000.0,Toyota Corolla Altis,87.2,6.0,13.0,Diesel,Manual,Bangalore,,6.0
218,25170.0,Maruti Swift Dzire,88.5,5.0,9.0,Petrol,Manual,Bangalore,11460.0,6.75
219,25022.0,Maruti Ciaz,103.25,5.0,3.0,Petrol,Manual,Bangalore,12440.0,8.93
220,100000.0,Maruti Swift,74.0,5.0,12.0,Diesel,Manual,Bangalore,11090.0,4.2
221,26367.0,Maruti Ciaz,103.25,5.0,4.0,Petrol,Manual,Bangalore,,9.41
222,76567.0,Hyundai Elantra,147.5,6.0,9.0,Petrol,Automatic,Bangalore,,6.3
223,120000.0,Toyota Innova,100.6,5.0,11.0,Diesel,Manual,Bangalore,12700.0,12.75
224,36459.0,Hyundai Grand i10,82.0,4.0,9.0,Petrol,Automatic,Bangalore,10850.0,5.25
225,93725.0,Maruti SX4 S Cross,88.5,5.0,8.0,Diesel,Manual,Bangalore,12170.0,7.5
226,115599.0,Maruti Ciaz,91.1,4.0,8.0,Petrol,Automatic,Bangalore,12440.0,6.32
227,43469.0,Maruti Swift Dzire,88.5,5.0,9.0,Petrol,Manual,Bangalore,11460.0,6.45
228,70000.0,Ford Ikon,70.0,5.0,19.0,Petrol,Manual,Bangalore,,5.0
229,77000.0,BMW X5,261.5,8.0,5.0,Diesel,Automatic,Bangalore,13753.0,67.95
230,100000.0,Maruti Vitara Brezza,88.5,5.0,6.0,Diesel,Manual,Bangalore,,8.5
231,72000.0,Mitsubishi Cedia,115.0,5.0,16.0,Petrol,Manual,Bangalore,12350.0,2.99
232,77000.0,Jaguar XF,187.7,8.0,11.0,Diesel,Automatic,Bangalore,13676.0,20.95
233,87101.0,Audi Q7,241.4,8.0,11.0,Diesel,Automatic,Bangalore,,28.0
234,40771.0,Volkswagen Polo,108.62,6.0,3.0,Petrol,Manual,Bangalore,11306.0,9.99
235,28000.0,Honda Jazz,88.7,5.0,6.0,Petrol,Manual,Bangalore,11298.0,8.25
236,40000.0,Maruti Wagon R,67.0,5.0,16.0,Petrol,Manual,Bangalore,10211.0,2.5
237,26000.0,Hyundai Venue,118.35,7.0,4.0,Petrol,Automatic,Bangalore,11530.0,12.95
238,76032.0,Maruti Wagon R,67.1,5.0,12.0,Petrol,Manual,Bangalore,10211.0,3.29
239,113780.0,Maruti Ciaz,103.25,5.0,6.0,Petrol,Manual,Bangalore,,6.66
240,24000.0,Audi A3,143.0,6.0,5.0,Diesel,Automatic,Bangalore,12508.0,22.9
241,65812.0,Hyundai Venue,98.6,6.0,4.0,Diesel,Manual,Bangalore,11530.0,10.26
242,10000.0,Skoda Kushaq,113.98,6.0,2.0,Petrol,Automatic,Bangalore,11970.0,17.0
243,39959.0,Maruti Baleno,83.1,5.0,8.0,Petrol,Manual,Bangalore,11480.0,6.81
244,10000.0,Hyundai Alcazar,156.9,6.0,2.0,Petrol,Automatic,Bangalore,12580.0,16.9
245,65484.0,Maruti Alto K10,65.71,5.0,8.0,Petrol,Manual,Bangalore,,3.18
246,49174.0,Maruti Baleno,83.1,5.0,7.0,Petrol,Manual,Bangalore,11480.0,6.88
247,20000.0,Volkswagen Taigun,113.98,6.0,2.0,Petrol,Manual,Bangalore,,13.0
248,50000.0,Hyundai i10,78.9,5.0,15.0,Petrol,Manual,Bangalore,10360.0,2.65
249,40000.0,Maruti Swift Dzire,81.8,5.0,6.0,Petrol,Automatic,Bangalore,11460.0,6.45
250,30000.0,Hyundai Alcazar,156.9,6.0,2.0,Petrol,Automatic,Bangalore,12580.0,20.0
251,50000.0,BMW 3 Series,215.0,6.0,17.0,Petrol,Automatic,Bangalore,,9.0
252,80000.0,Maruti Swift,81.8,5.0,4.0,Petrol,Manual,Bangalore,11150.0,6.2
253,20000.0,MG Astor,108.49,5.0,2.0,Petrol,Manual,Bangalore,12264.0,14.7
254,70000.0,Hyundai Accent,93.7,5.0,14.0,CNG,Manual,Bangalore,11840.0,2.2
255,90000.0,Audi A4,174.33,8.0,10.0,Diesel,Automatic,Bangalore,13311.0,14.75
256,40000.0,Renault KWID,67.0,5.0,4.0,Petrol,Manual,Bangalore,10620.0,4.15
257,63797.0,Honda Jazz,88.7,5.0,8.0,Petrol,Manual,Bangalore,,6.1
258,60216.0,Hyundai Grand i10,81.86,5.0,6.0,Petrol,Manual,Bangalore,10850.0,5.6
259,10000.0,Maruti Alto K10,67.05,5.0,9.0,Petrol,Automatic,Bangalore,10120.0,4.25
260,38153.0,Maruti Baleno,83.1,5.0,8.0,Petrol,Manual,Bangalore,11480.0,6.86
261,76485.0,Maruti Swift,88.5,5.0,9.0,Petrol,Manual,Bangalore,11160.0,5.17
262,40000.0,Maruti Wagon R,67.04,5.0,9.0,Petrol,Manual,Bangalore,10219.0,3.85
263,40623.0,Maruti Baleno,83.1,5.0,8.0,Petrol,Manual,Bangalore,,6.75
264,18000.0,Mercedes-Benz C-Class,167.62,9.0,6.0,Diesel,Automatic,Bangalore,13281.0,33.0
265,88051.0,Maruti Swift,88.5,5.0,10.0,Petrol,Manual,Bangalore,11160.0,4.99
266,16522.0,Maruti Swift,88.5,5.0,2.0,Petrol,Manual,Bangalore,11160.0,7.74
267,70000.0,Jeep Compass,170.0,6.0,5.0,Diesel,Manual,Bangalore,,14.75
268,80000.0,Maruti Wagon R,67.0,5.0,16.0,Petrol,Manual,Bangalore,10211.0,2.4
